id,title,year,category,role,publisher,isbn,description,cover,status,verifiedAt,language,sources,pages,notes,showInShelf,coverWidth,coverHeight,coverAlt,coverKind
fuiste-el-rey,Fuiste el rey,2019,Novelas,Autor,Tres Hermanas,9788412094312,"Una joven pareja abandona España para empezar de nuevo en Bruselas. La precariedad, la enfermedad y los celos ponen a prueba su relación.",images/fuiste-el-rey-800.webp,verified,2026-09-25,es,"[{""url"": ""https://www.agapea.com/Fernando-Gonzalez-Ariza/Fuiste-el-rey-9788412094312-i.htm"", ""kind"": ""bibliographic""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}, {""git"": ""77f019e:index.html"", ""kind"": ""description""}]",220,[],True,,,,
ciudad-dormida,Ciudad dormida,2014,Novelas,Autor,Ediciones del Serbal,9788476287545,El detective Lang acude a una fiesta en la mansión de un marqués. Un cadáver en el jardín lo arrastra a una investigación entre los secretos de la ciudad.,images/ciudad-dormida-800.webp,verified,2026-09-25,es,"[{""url"": ""https://dialnet.unirioja.es/servlet/libro?codigo=639960"", ""kind"": ""bibliographic""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}, {""git"": ""77f019e:index.html"", ""kind"": ""description""}]",,[],True,,,,
puentes,Construyendo puentes,2024,Ensayo e investigación,Autor,Comares,9788413696980,La travesía de la narrativa española en los Estados Unidos (1870–1975).,images/puentes.webp,verified,2026-09-25,es,"[{""url"": ""https://www.comares.com/libro/construyendo-puentes_150232/"", ""kind"": ""bibliographic""}]",276,"[""Older author bios say 2023; publisher edition date is 2024-01-03.""]",True,400,614,,
pensamiento,El pensamiento narrativo,2023,Ensayo e investigación,Coautor con Miguel Herrero Herrero,Sílex,9788419661067,Principios de storytelling. Un estudio de los elementos y técnicas que intervienen en la construcción de los relatos.,images/pensamiento.webp,verified,2026-09-25,es,"[{""url"": ""https://dialnet.unirioja.es/servlet/libro?codigo=932945"", ""kind"": ""bibliographic""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}]",192,[],True,366,569,,
jekyll,Dualidad y sentido ético en Dr. Jekyll y Mr. Hyde,2024,Guías de lectura,Autor,CEU Ediciones,9788419976499,"Guía de lectura de la novela de Robert Louis Stevenson: narración, dualidad y sentido ético.",images/jekyll.webp,verified,2026-09-25,es,"[{""url"": ""https://www.ceuediciones.es/catalogo/libros/critica-literaria/dualidad-y-sentido-etico-en-dr-jekyll-y-mr-hyde-guia-de-lectura/"", ""kind"": ""bibliographic""}]",103,[],True,,,,
rebelion,Manipulación social en Rebelión en la Granja,2021,Guías de lectura,Autor,CEU Ediciones,9788418463747,Guía de lectura de la obra de George Orwell.,images/rebelion.webp,verified,2026-09-25,es,"[{""url"": ""https://dialnet.unirioja.es/servlet/libro?codigo=887314"", ""kind"": ""bibliographic""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}]",,[],True,,,,
becquer,"Bécquer, el romántico",2006,Biografías,Autor,El Rompecabezas,9788496751118,"Biografía juvenil de Gustavo Adolfo Bécquer, publicada en la colección Sabelotod@s.",images/becquer.webp,verified,2026-09-25,es,"[{""url"": ""https://www.agapea.com/libros/Becquer-el-romantico-9788496751118-i.htm"", ""kind"": ""bibliographic""}]",128,"[""Bookseller specifies December 2006 first edition; library legal deposit is 2007. Display first-edition year.""]",False,223,350,,
valle,"Valle-Inclán, el bohemio",2007,Biografías,Autor,El Rompecabezas,9788496751231,"Biografía juvenil de Ramón del Valle-Inclán, publicada en la colección Sabelotod@s.",images/valle.webp,verified,2026-09-25,es,"[{""url"": ""https://dialnet.unirioja.es/servlet/libro?codigo=639957"", ""kind"": ""bibliographic""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}]",128,[],False,222,350,,
planeta,Premios Planeta. Historia y estrategias comerciales,2008,Ensayo e investigación,Autor,Sial / Trivium,9788496464766,Ensayo sobre la historia del Premio Planeta y sus estrategias comerciales. Prólogo de Antonio Prieto.,images/planeta.webp,verified,2026-09-25,es,"[{""url"": ""https://sialpigmalion.es/coleccion/academicas/trivium/page/4/"", ""kind"": ""bibliographic""}]",,[],True,,,,
camino,El camino. Guía de lectura,2008,Guías de lectura,Autor de la guía,Cénlit,9788496634220,Guía de lectura de la novela de Miguel Delibes.,images/camino.webp,verified,2026-09-25,es,"[{""url"": ""https://www.agapea.com/libros/El-camino-Guia-de-Lectura-9788496634220-i.htm"", ""kind"": ""bibliographic""}]",96,[],True,,,,
mercado,Literatura y mercado editorial en España (1950–2000),2010,Ensayo e investigación,Autor,Pliegos,9788496045699,Monografía sobre literatura y mercado editorial en España en la segunda mitad del siglo XX.,images/mercado.webp,verified,2026-09-25,es,"[{""url"": ""https://dialnet.unirioja.es/servlet/libro?codigo=639958"", ""kind"": ""bibliographic""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}]",,[],True,1050,1580,,
macrae,Correspondencia entre Vicente Blasco Ibáñez y John Macrae,2017,Ediciones,"Edición, traducción, introducción y notas",Editorial Académica Española,9783639490138,"Correspondencia de 1918 a 1932, en edición traducida con introducción y notas de Fernando Ariza.",images/macrae.webp,verified,2026-09-25,es,"[{""url"": ""https://www.goodreads.com/book/show/97440642-correspondencia-entre-vicente-blasco-ib-ez-y-john-macrae-1918-1932"", ""kind"": ""bibliographic""}, {""url"": ""https://accesoabiertocomares.com/index.php/coa/catalog/download/75/154/981?inline=1"", ""kind"": ""bibliographic""}]",176,"[""ISBN and 176 pages verified against Goodreads edition metadata; actual cover credits Fernando Ariza (Ed.).""]",True,341,500,,
delibes,Miguel Delibes: encuadres y figuras en una España cambiante,2024,Ediciones,Coordinación con Ana Isabel Ballesteros Dorado,Iberoamericana / Vervuert,9788491924111,"Estudios sobre la naturaleza, el lenguaje y la sociedad en la obra de Miguel Delibes.",images/delibes.webp,verified,2026-09-25,es,"[{""url"": ""https://www.iberoamericana-vervuert.es/Libros/231977.pdf"", ""kind"": ""bibliographic""}]",197,"[""Dialnet lists 2023; publisher title and copyright pages explicitly state 2024. Publisher takes precedence.""]",True,1226,1800,,
tesis,Literatura y sociedad: el premio Planeta,2004,Tesis,Autor,Universidad Complutense de Madrid,8466928561,Tesis doctoral dirigida por J. Ignacio Díez Fernández. Defendida en 2004; memoria publicada en 2006.,images/tesis.webp,verified,2026-09-25,es,"[{""url"": ""https://docta.ucm.es/bitstreams/f8415856-344b-49e4-914e-4521b69d5564/download"", ""kind"": ""primary-document""}, {""url"": ""https://dialnet.unirioja.es/servlet/autor?codigo=887454"", ""kind"": ""bibliographic""}]",,[],True,1272,1800,Portada original de la tesis Literatura y sociedad: el premio Planeta,original-title-page
baroja,Pío Baroja y Vicente Blasco Ibáñez,2026,Ediciones,Autor,Sílex,9791387694494,Correspondencia editorial con Estados Unidos.,images/baroja.webp,catalogue-verified,2026-09-25,es,"[{""url"": ""https://www.popularlibros.com/libro/pio-baroja-y-vicente-blasco-ibanez-_1697581"", ""kind"": ""bibliographic""}]",188,"[""2026 catalogue record verified at bookseller; publisher confirmation and relationship to 2017 edition remain to be checked.""]",True,600,945,,
